winner_name,percent_servept_won,percent_breakpt_saved,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_w_bpSaved,Sum_Sum_w_bpFaced
Catherine Harrison,0.4666666666666667,0.375,USA,15,6,45,3,8
Aurelie Vedy,0.358974358974359,0.375,FRA,7,7,39,3,8
Stanislava Hrozenska,0.40425531914893614,0.375,SVK,14,5,47,3,8
Theresa Logar,0.49019607843137253,0.375,USA,12,13,51,3,8
Rebecca Llewellyn,0.32432432432432434,0.375,GBR,7,5,37,3,8
Tara Iyer,0.41379310344827586,0.375,IND,19,5,58,3,8
Indy De Vroome,0.5157894736842106,0.3684210526315789,NED,66,32,190,7,19
Melissa Torres Sandoval,0.5082872928176796,0.36585365853658536,MEX,131,53,362,15,41
Cristina Torrens Valero,0.48582995951417,0.36363636363636365,ESP,80,40,247,12,33
Karolina Muchova,0.5172413793103449,0.36363636363636365,CZE,32,13,87,4,11
Veronika Kapshay,0.4305555555555556,0.36363636363636365,UKR,24,7,72,4,11
Sophie Lefevre,0.5619047619047619,0.36363636363636365,FRA,37,22,105,4,11
Tetyana Arefyeva,0.5258358662613982,0.36363636363636365,UKR,114,59,329,12,33
Fiona Ferro,0.456973293768546,0.3584905660377358,FRA,99,55,337,19,53
Meiling Wang,0.543859649122807,0.35714285714285715,CHN,42,20,114,5,14
Shuko Aoyama,0.43859649122807015,0.3541666666666667,JPN,95,30,285,17,48
Seda Noorlander,0.4473684210526316,0.35294117647058826,NED,29,22,114,6,17
Malou Ejdesgaard,0.4044943820224719,0.35294117647058826,DEN,27,9,89,6,17
Katarina Zavatska,0.50625,0.35,UKR,55,26,160,7,20
Anna Brazhnikova,0.3541666666666667,0.35,SWE,23,11,96,7,20
Lina Qostal,0.32978723404255317,0.35,MAR,16,15,94,7,20
Monique Adamczak,0.5011764705882353,0.35,AUS,296,130,850,35,100
Yue Yue Hu,0.42758620689655175,0.34782608695652173,CHN,43,19,145,8,23
Gabriela Ce,0.4429530201342282,0.34782608695652173,BRA,47,19,149,8,23
Tamaryn Hendler,0.48773006134969327,0.34210526315789475,BEL,117,42,326,13,38
Yi Fan Xu,0.4910344827586207,0.33695652173913043,CHN,245,111,725,31,92
Lauren Breadmore,0.4897959183673469,0.3333333333333333,AUS,11,13,49,2,6
Hao Chen Tang,0.4166666666666667,0.3333333333333333,CHN,22,13,84,5,15
Lina Bennani,0.325,0.3333333333333333,MAR,8,5,40,3,9
Magali De Lattre,0.34146341463414637,0.3333333333333333,POR,18,10,82,6,18
Olesya Pervushina,0.527027027027027,0.3333333333333333,RUS,55,23,148,5,15
Karman Thandi,0.5217391304347826,0.3333333333333333,IND,19,5,46,2,6
Ayano Shimizu,0.325,0.3333333333333333,JPN,8,5,40,3,9
Maria Mateas,0.4482758620689655,0.3333333333333333,USA,23,3,58,3,9
Alexandra Mueller,0.5486111111111112,0.3333333333333333,USA,50,29,144,5,15
Silvia Albano,0.35,0.3333333333333333,ITA,8,6,40,3,9
Nina Khrisanova,0.325,0.3333333333333333,RUS,11,2,40,3,9
Kinnie Laisne,0.5084745762711864,0.3333333333333333,FRA,21,9,59,2,6
Charlotte Robillard Millette,0.5192307692307693,0.3333333333333333,CAN,24,3,52,2,6
Courtney Collins,0.4666666666666667,0.3333333333333333,USA,14,7,45,2,6
Michaela Pochabova,0.4861111111111111,0.3333333333333333,SVK,20,15,72,3,9
Olivia Lukaszewicz,0.325,0.3333333333333333,AUS,7,6,40,3,9
Joannette Kruger,0.3191489361702128,0.3333333333333333,RSA,13,2,47,3,9
Anna Fitzpatrick,0.6724137931034483,0.3333333333333333,GBR,30,9,58,1,3
Lenka Tvaroskova,0.36065573770491804,0.3333333333333333,SVK,19,3,61,4,12
Nicole Rottmann,0.41304347826086957,0.3333333333333333,AUT,11,8,46,3,9
Yevheniia Savranska,0.5,0.3333333333333333,UKR,19,10,58,2,6
Tina Schiechtl,0.4485981308411215,0.3333333333333333,AUT,33,15,107,5,15
Akiko Yonemura,0.4166666666666667,0.3333333333333333,JPN,11,9,48,3,9
Marta Sirotkina,0.583941605839416,0.3333333333333333,RUS,50,30,137,4,12
Lavinia Tananta,0.42857142857142855,0.3333333333333333,INA,9,15,56,3,9
Karen Barbat,0.4782608695652174,0.3333333333333333,DEN,20,13,69,3,9
Iva Majoli,0.4594594594594595,0.3333333333333333,CRO,82,20,222,11,33
Marina Melnikova,0.4316109422492401,0.3269230769230769,RUS,105,37,329,17,52
Yan Chong Chen,0.45454545454545453,0.3125,CHN,38,12,110,5,16
Barbara Luz,0.3125,0.3125,POR,13,7,64,5,16
So Ra Lee,0.44642857142857145,0.3125,KOR,31,19,112,5,16
Chia Jung Chuang,0.5073170731707317,0.3076923076923077,TPE,76,28,205,8,26
Ksenia Palkina,0.45348837209302323,0.3076923076923077,KGZ,51,27,172,8,26
Libuse Prusova,0.43137254901960786,0.3,CZE,53,13,153,6,20
Brienne Minor,0.43333333333333335,0.3,USA,16,10,60,3,10
Yue Yuan,0.49382716049382713,0.3,CHN,30,10,81,3,10
Haruka Kaji,0.30612244897959184,0.3,JPN,12,3,49,3,10
Nadia Abdala,0.3023255813953488,0.3,MEX,6,7,43,3,10
Bea Bielik,0.5102040816326531,0.3,USA,35,15,98,3,10
Vlada Ekshibarova,0.4583333333333333,0.3,UZB,29,4,72,3,10
Maddison Inglis,0.42201834862385323,0.29411764705882354,AUS,28,18,109,5,17
Ani Mijacika,0.5067567567567568,0.29411764705882354,CRO,52,23,148,5,17
Marine Partaud,0.3684210526315789,0.2857142857142857,FRA,13,1,38,2,7
Kyoka Okamura,0.5094339622641509,0.2857142857142857,JPN,20,7,53,2,7
Anna Orlik,0.5373134328358209,0.2857142857142857,BLR,31,5,67,2,7
Taysia Rogers,0.3225806451612903,0.2857142857142857,USA,6,4,31,2,7
Alexis King,0.4230769230769231,0.2857142857142857,USA,15,7,52,2,7
Lubomira Bacheva,0.4576271186440678,0.2857142857142857,BUL,21,6,59,2,7
Daniela Munoz Gallegos,0.4418604651162791,0.2857142857142857,MEX,16,3,43,2,7
Ksenia Milevskaya,0.4444444444444444,0.2727272727272727,BLR,26,10,81,3,11
Chin Wei Chan,0.4473684210526316,0.26666666666666666,TPE,31,20,114,4,15
Victoria Rodriguez,0.4427083333333333,0.25925925925925924,MEX,64,21,192,7,27
Valeriya Strakhova,0.4074074074074074,0.25,UKR,17,5,54,2,8
Gabriela Lastra,0.36,0.25,USA,11,7,50,2,8
Ana Catarina Nogueira,0.4507042253521127,0.25,POR,23,9,71,2,8
Ivana Abramovic,0.325,0.25,CRO,11,2,40,2,8
Petra Krejsova,0.625,0.2222222222222222,CZE,53,12,104,2,9
Maite Gabarrus Alonso,0.3,0.2222222222222222,ESP,10,5,50,2,9
Mailyne Andrieux,0.24444444444444444,0.2222222222222222,FRA,6,5,45,2,9
Nicole Kriz,0.2,0.2222222222222222,AUS,3,4,35,2,9
Oksana Kalashnikova,0.5232558139534884,0.2222222222222222,GEO,30,15,86,2,9
Emiliana Arango,0.37209302325581395,0.21428571428571427,COL,26,6,86,3,14
Tomoko Yonemura,0.38613861386138615,0.2,JPN,22,17,101,3,15
Chompoothip Jandakate,0.4772727272727273,0.2,THA,18,3,44,1,5
Emina Bektas,0.42592592592592593,0.16666666666666666,USA,18,5,54,1,6
Ellen Barry,0.37777777777777777,0.16666666666666666,NZL,12,5,45,1,6
Wynne Prakusya,0.38461538461538464,0.16666666666666666,INA,8,7,39,1,6
Deborah Chiesa,0.5,0.16666666666666666,ITA,19,10,58,1,6
Annalisa Bona,0.4423076923076923,0.16666666666666666,ITA,13,10,52,1,6
Anna Giulia Remondina,0.5384615384615384,0.16666666666666666,ITA,26,9,65,1,6
Ayu Fani Damayanti,0.4146341463414634,0.16666666666666666,INA,13,4,41,1,6
Nazrin Jafarova,0.21052631578947367,0.15384615384615385,AZE,8,4,57,2,13
Henrietta Habler,0.28205128205128205,0.14285714285714285,HUN,7,4,39,1,7
Brittany Augustine,0.2777777777777778,0.14285714285714285,USA,8,2,36,1,7
Amandine Dulon,0.4642857142857143,0.14285714285714285,FRA,18,8,56,1,7
Ghita Benhadi,0.3333333333333333,0.14285714285714285,MAR,6,6,36,1,7
Martina Caregaro,0.35714285714285715,0.14285714285714285,ITA,10,5,42,1,7
Barbara Schwartz,0.34146341463414637,0.14285714285714285,AUT,9,5,41,1,7
Nadejda Guskova,0.27906976744186046,0.125,RUS,9,3,43,1,8
Emelyn Starr,0.2,0.125,AUS,3,4,35,1,8
Alyssa Mayo,0.23684210526315788,0.125,USA,5,4,38,1,8
Tara Snyder,0.37777777777777777,0.0,USA,13,4,45,0,6
Prarthana G Thombare,0.2,0.0,IND,2,4,30,0,6
Yanin Wisitwarapron,0.07692307692307693,0.0,THA,1,1,26,0,6
Ingrid Neel,0.46808510638297873,0.0,USA,14,8,47,0,5
Beatrice Gumulya,0.44,0.0,INA,14,8,50,0,5
Oxana Lyubtsova,0.125,0.0,UKR,4,0,32,0,7
Anais Laurendon,0.3225806451612903,0.0,FRA,5,5,31,0,5
Michaela Johansson,0.3157894736842105,0.0,SWE,10,2,38,0,6
