winner_name,percent_servept_won,percent_breakpt_saved,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_w_bpSaved,Sum_Sum_w_bpFaced
Olivia Rogowska,0.5234464353793367,0.4809384164222874,AUS,940,433,2623,164,341
Darya Kustova,0.5201560468140443,0.4807692307692308,BLR,295,105,769,50,104
Sanaz Marand,0.4606741573033708,0.48,USA,61,21,178,12,25
Tornado Alicia Black,0.42028985507246375,0.48,USA,43,15,138,12,25
Julie Ditty,0.506574827802129,0.4794520547945205,USA,597,212,1597,105,219
Shikha Uberoi,0.4562043795620438,0.4791666666666667,IND,83,42,274,23,48
Barbara Haas,0.5070921985815603,0.4782608695652174,AUT,306,123,846,55,115
Marie Eve Pelletier,0.5185185185185185,0.4772727272727273,CAN,250,128,729,42,88
Anastasia Yakimova,0.49700598802395207,0.47723935389133626,BLR,1618,706,4676,325,681
Angelika Bachmann,0.47549019607843135,0.47692307692307695,GER,151,43,408,31,65
Mervana Jugic Salkic,0.5217391304347826,0.47619047619047616,BIH,119,49,322,20,42
Lauren Albanese,0.4751958224543081,0.47540983606557374,USA,111,71,383,29,61
Rebeka Masarova,0.5409836065573771,0.47540983606557374,SUI,173,91,488,29,61
Anna Smashnova,0.5020673360897815,0.475,ISR,628,222,1693,114,240
Ling Zhang,0.5272435897435898,0.475,HKG,234,95,624,38,80
Teryn Ashley,0.4744525547445255,0.47368421052631576,USA,34,31,137,9,19
Mallory Cecil,0.45722713864306785,0.47368421052631576,USA,98,57,339,27,57
Arina Rodionova,0.538881309686221,0.47368421052631576,RUS,872,313,2199,126,266
Renata Voracova,0.5161290322580645,0.4735576923076923,CZE,1201,447,3193,197,416
Aiko Nakamura,0.5182912974324018,0.47322970639032813,JPN,1598,683,4401,274,579
Amandine Hesse,0.5230607966457023,0.4732142857142857,FRA,304,195,954,53,112
Meng Yuan,0.5137509549274255,0.47277936962750716,CHN,1005,340,2618,165,349
Ye Ra Lee,0.5089974293059126,0.4727272727272727,KOR,145,53,389,26,55
Elise Tamaela,0.5672514619883041,0.47058823529411764,NED,52,45,171,8,17
Sarah Taylor,0.48739495798319327,0.47058823529411764,USA,37,21,119,8,17
Miharu Imanishi,0.5206611570247934,0.47058823529411764,JPN,100,26,242,16,34
Marta Kostyuk,0.554945054945055,0.47058823529411764,UKR,70,31,182,8,17
Yoon Jeong Cho,0.5049900199600799,0.4697986577181208,KOR,380,126,1002,70,149
Sesil Karatantcheva,0.5068787618228718,0.46938775510204084,KAZ,1695,663,4652,299,637
Katie Obrien,0.5069625761531766,0.46885245901639344,GBR,785,380,2298,143,305
Neha Uberoi,0.5043227665706052,0.46808510638297873,USA,131,44,347,22,47
Elitsa Kostova,0.5004108463434676,0.46706586826347307,BUL,439,170,1217,78,167
Jasmina Tinjic,0.46,0.4666666666666667,BIH,36,10,100,7,15
Jing Jing Lu,0.4914860681114551,0.46596858638743455,CHN,417,218,1292,89,191
Carol Zhao,0.512987012987013,0.4659090909090909,CAN,214,102,616,41,88
Valeria Solovieva,0.5024630541871922,0.46551724137931033,RUS,142,62,406,27,58
Barbora Stefkova,0.5267605633802817,0.46511627906976744,CZE,138,49,355,20,43
Sabina Sharipova,0.5266497461928934,0.465,UZB,523,307,1576,93,200
Nadia Lalami,0.4951923076923077,0.4642857142857143,MAR,129,77,416,26,56
Saori Obata,0.5161887141535615,0.4642857142857143,JPN,426,132,1081,65,140
Vasilisa Bardina,0.5147734734077478,0.463768115942029,RUS,562,222,1523,96,207
Junri Namigata,0.5004533091568449,0.46296296296296297,JPN,381,171,1103,75,162
Henrieta Nagyova,0.4789579158316633,0.4625,SVK,174,65,499,37,80
Dia Evtimova,0.491588785046729,0.4625,BUL,203,60,535,37,80
Olga Fridman,0.5050505050505051,0.46153846153846156,UKR,39,11,99,6,13
Ilona Kremen,0.44285714285714284,0.46153846153846156,BLR,18,13,70,6,13
Eva Fernandez Brugues,0.4622222222222222,0.4594594594594595,ESP,82,22,225,17,37
Zuzana Ondraskova,0.4838709677419355,0.4588859416445623,CZE,871,299,2418,173,377
Yi Jing Zhao,0.5,0.4583333333333333,CHN,57,16,146,11,24
Sophie Ferguson,0.5148578811369509,0.4583333333333333,AUS,619,178,1548,88,192
Jia Qi Kang,0.49700598802395207,0.4583333333333333,CHN,61,22,167,11,24
Xiyu Wang,0.5161290322580645,0.4583333333333333,CHN,66,30,186,11,24
Peangtarn Plipuech,0.4891304347826087,0.4574468085106383,THA,232,83,644,43,94
Tadeja Majeric,0.5076608784473953,0.4573643410852713,SLO,370,127,979,59,129
Anne Kremer,0.5029433406916851,0.4572192513368984,LUX,1001,366,2718,171,374
Liana Gabriela Ungur,0.5442622950819672,0.45714285714285713,ROU,127,39,305,16,35
Veronika Kudermetova,0.5191956124314442,0.45588235294117646,RUS,205,79,547,31,68
Hana Sromova,0.486652977412731,0.45517241379310347,CZE,353,121,974,66,145
Wing Yau Venise Chan,0.3469387755102041,0.45454545454545453,HKG,12,5,49,5,11
Lamia Essaadi,0.38,0.45454545454545453,MAR,14,5,50,5,11
Tina Pisnik,0.5362318840579711,0.45454545454545453,SLO,202,94,552,30,66
Nadia Podoroska,0.48576214405360135,0.45454545454545453,ARG,207,83,597,40,88
Laura Pigossi,0.48201438848920863,0.45454545454545453,BRA,48,19,139,10,22
