annotation,x1,y1,x2,y2
"Being the older sister and touted the next rising star, Venus won their initial four encounters.",400,100,350,145
"In the subsequent years, Serena caught up to Venus, beating her in four consecutive Grand Slam finals during the Serena Slam.",150,400,200,370
Wimbledon 2008 was last time Venus beat Serena in a Grand Slam match.,405,520,355,550
The Williams sisters met in a Grand Slam final for the first time since 2009 Wimbledon at the 2017 Australian Open,145,925,195,910
"In the first tournament after Serena's maternal leave, Venus beat her in the 3rd round of Indian Wells.",400,900,350,930
