tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
2005-W-T1-USA-01A-2005,Indian Wells,Hard,96,T1,20050309,094,200079,,,Kim Clijsters,R,,BEL,21.7467488022,133,262,200108,4,,Elena Dementieva,R,180,RUS,23.3921971253,5,3665,6-4 6-2,3,SF
2002-W-WT-USA-01A-2002,WTA Tour Championships,Hard,16,W,20021106,012,200748,2,,Venus Williams,R,185,USA,22.3819301848,2,4844,200652,6,,Monica Seles,L,,USA,28.9226557153,7,2796,7-5 6-4,3,QF
2003-W-SL-FRA-01A-2003,French Open,Clay,128,G,20030526,119,200049,24,,Conchita Martinez,R,170,ESP,31.1074606434,22,1226,200128,6,,Lindsay Davenport,R,189,USA,26.9623545517,6,3304,6-4 2-0 RET,3,R16
2003-W-T2-USA-02A-2003,Amelia Island,Clay,48,T2,20030414,041,200003,1,,Justine Henin,R,167,BEL,20.8678986995,4,3842,200652,6,,Monica Seles,L,,USA,29.363449692,12,1830,6-2 6-4,3,QF
2003-W-T1-ITA-01A-2003,Rome,Clay,56,T1,20030512,055,200079,2,,Kim Clijsters,R,,BEL,19.9260780287,2,4519,200065,4,,Amelie Mauresmo,R,175,FRA,23.8521560575,6,3090,3-6 7-6(3) 6-0,3,F
2003-W-T2-GER-02A-2003,Filderstadt,Hard,28,T2,20031006,021,200079,1,,Kim Clijsters,R,,BEL,20.3285420945,1,6579,200065,5,,Amelie Mauresmo,R,175,FRA,24.2546201232,7,2472,6-4 6-3,3,QF
2003-W-T3-LUX-01A-2003,Luxembourg,Hard,30,T3,20031020,027,200079,1,,Kim Clijsters,R,,BEL,20.3668720055,2,6584,201345,5,,Maria Sharapova,R,,RUS,16.5037645448,37,886,6-0 6-3,3,SF
2003-W-WT-USA-01A-2003,WTA Tour Championships,Hard,4,W,20031105,003,200079,1,,Kim Clijsters,R,,BEL,20.4052019165,1,6596,200065,6,,Amelie Mauresmo,R,175,FRA,24.3312799452,6,2736,6-2 6-0,3,F
2001-W-T2-USA-06A-2001,New Haven,Hard,28,T2,20010819,025,200128,1,,Lindsay Davenport,R,189,USA,25.1991786448,3,4544,200079,4,,Kim Clijsters,R,,BEL,18.2012320329,5,2883,W/O,3,SF
2002-W-SL-AUS-01A-2002,Australian Open,Hard,128,G,20020114,077,200108,12,,Elena Dementieva,R,180,RUS,20.2491444216,17,1536,200772,,,Anastasia Myskina,R,174,RUS,20.5201916496,53,624,6-4 6-2,3,R64
2002-W-SL-AUS-01A-2002,Australian Open,Hard,128,G,20020114,121,200077,1,,Jennifer Capriati,R,170,USA,25.7960301164,1,4857,200065,7,,Amelie Mauresmo,R,175,FRA,22.5297741273,9,2670,6-2 6-2,3,QF
2002-W-T1-USA-01A-2002,Indian Wells,Hard,96,T1,20020306,094,200001,2,,Martina Hingis,R,170,SUI,21.4236824093,4,3663,200652,4,,Monica Seles,L,,USA,28.2518822724,9,2864,6-3 6-2,3,SF
2002-W-T1-USA-02A-2002,Miami,Hard,96,T1,20020318,092,200748,2,,Venus Williams,R,185,USA,21.749486653,2,4616,200108,12,,Elena Dementieva,R,180,RUS,20.4216290212,15,1537,5-7 6-3 6-2,3,QF
2002-W-T2-GER-01A-2002,Hamburg,Clay,28,T2,20020430,025,200748,1,,Venus Williams,R,185,USA,21.864476386,1,4669,200001,3,,Martina Hingis,R,170,SUI,21.5770020534,4,3375,7-5 6-3,3,SF
2002-W-SL-FRA-01A-2002,French Open,Clay,128,G,20020527,122,200033,3,,Serena Williams,R,175,USA,20.6652977413,3,4036,200096,,WC,Mary Pierce,R,178,FRA,27.3620807666,132,242,6-1 6-1,3,QF
2002-W-T2-GER-03A-2002,Filderstadt,Hard,28,T2,20021007,006,200001,7,,Martina Hingis,R,170,SUI,22.0177960301,10,2448,200017,,,Arantxa Sanchez Vicario,R,,ESP,30.803559206,41,839,6-4 6-2,3,R32
1977-W-SL-USA-01A-1977,US Open,Clay,97,G,19770831,095,200209,12,,Wendy Turnbull,U,,AUS,,,,200293,2,,Martina Navratilova,L,173,USA,,,,2-6 7-5 6-4,3,SF
2005-W-T2-USA-01A-2005,Amelia Island,Clay,56,T2,20050404,048,200033,2,,Serena Williams,R,175,USA,23.5208761123,4,4223,200096,14,,Mary Pierce,R,178,FRA,30.2176591376,27,1060,7-6(5) 6-4,3,R16
2005-W-T1-CAN-01A-2005,Canadian Open,Hard,56,T1,20050815,055,200079,7,,Kim Clijsters,R,,BEL,22.1875427789,8,2769,200003,4,,Justine Henin,R,167,BEL,23.2060232717,5,3069,7-5 6-1,3,F
2005-W-WT-USA-01A-2005,WTA Tour Championships,Hard,4,W,20051107,9,200079,2,,Kim Clijsters,R,,BEL,22.417522245,2,4665,200108,8,,Elena Dementieva,R,180,RUS,24.0629705681,7,2748,6-2 6-3,3,RR
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,113,200128,1,,Lindsay Davenport,R,189,USA,29.607118412,1,3331,201320,14,,Svetlana Kuznetsova,R,174,RUS,20.5557837098,11,1260,6-2 6-4,3,R16
2006-W-T2-AUS-01A-2006,Sydney,Hard,28,T2,20060109,019,201320,6,,Svetlana Kuznetsova,R,174,RUS,20.5366187543,14,1173,201336,,,Dinara Safina,R,182,RUS,19.704312115,19,980,6-3 RET,3,R16
2006-W-T2-AUS-01A-2006,Sydney,Hard,28,T2,20060109,024,201320,6,,Svetlana Kuznetsova,R,174,RUS,20.5366187543,14,1173,201421,,,Ana Ivanovic,R,183,SRB,18.1765913758,21,948,7-6(3) 6-3,3,QF
2006-W-T2-QAT-01A-2006,Doha,Hard,28,T2,20060227,025,200065,1,,Amelie Mauresmo,R,175,FRA,26.6502395619,2,3402,200001,,WC,Martina Hingis,R,170,SUI,25.4099931554,44,495,6-2 6-2,3,SF
2006-W-SL-GBR-01A-2006,Wimbledon,Grass,128,G,20060626,109,201419,27,,Na Li,R,172,CHN,24.3285420945,30,619,201320,5,,Svetlana Kuznetsova,R,174,RUS,20.9965776865,6,2107,3-6 6-2 6-3,3,R32
2006-W-T2-LUX-01A-2006,Luxembourg,Hard,28,T2,20060925,003,200748,,,Venus Williams,R,185,USA,26.2724161533,54,422,201421,6,,Ana Ivanovic,R,183,SRB,18.8856947296,15,1197,6-3 6-4,3,R32
2006-W-T1-SUI-01A-2006,Zurich,Hard,28,T1,20061016,022,201320,3,,Svetlana Kuznetsova,R,174,RUS,21.3032169747,4,2408,200001,5,,Martina Hingis,R,170,SUI,26.0424366872,9,1850,6-1 1-6 6-3,3,QF
1983-W-WT-USA-07A-1983,Chicago,Carpet,32,W,19830214,029,200293,1,,Martina Navratilova,L,173,USA,,,,200360,4,,Pam Shriver,R,,USA,,,,6-1 6-3,3,SF
1981-W-WT-CAN-01A-1981,Canadian Open,Hard,56,W,19810817,049,200259,1,,Chris Evert,R,,USA,,,,200348,5,,Hana Mandlikova,R,,AUS,,,,6-3 7-6,3,QF
1981-W-WT-USA-24A-1981,East Rutherford,Carpet,5,W,19811214,004,200360,,,Pam Shriver,R,,USA,,,,200259,2,,Chris Evert,R,,USA,,,,&nbsp;,3,R32
1982-W-WT-USA-12A-1982,Dallas,Carpet,56,W,19820308,049,200293,1,,Martina Navratilova,L,173,USA,,,,200209,6,,Wendy Turnbull,U,,AUS,,,,7-6 6-7 7-5,3,QF
1982-W-WT-USA-09A-1982,Houston,Carpet,16,W,19820215,001,200360,1,,Pam Shriver,R,,USA,,,,200404,,,Zina Garrison,U,,USA,,,,4-6 6-1 6-3,3,R16
1986-W-WT-USA-14A-1986,Hilton Head,Clay,56,W,19860407,054,200414,3,,Steffi Graf,R,,GER,16.8131416838,4,,200348,2,,Hana Mandlikova,R,,AUS,24.128678987,3,,6-2 6-4,3,SF
1986-W-WT-USA-30A-1986,Worcester,Hard,32,W,19861103,029,200293,1,,Martina Navratilova,L,173,USA,30.0424366872,1,,200360,4,,Pam Shriver,R,,USA,24.334017796,6,,3-6 7-6 6-4,3,SF
1987-W-SL-GBR-01A-1987,Wimbledon,Grass,128,G,19870622,126,200414,2,,Steffi Graf,R,,GER,18.0205338809,2,245,200360,5,,Pam Shriver,R,,USA,24.9664613279,6,109,6-0 6-2,3,SF
1987-W-WT-USA-13A-1987,Amelia Island,Clay,56,W,19870413,053,200414,1,,Steffi Graf,R,,GER,17.8288843258,2,218,200572,5,,Gabriela Sabatini,R,,ARG,16.9089664613,10,68,6-2 6-2,3,SF
1987-W-WT-USA-04A-1987,Boca Raton,Hard,56,W,19870216,054,200414,2,,Steffi Graf,R,,GER,17.6755646817,3,,200360,3,,Pam Shriver,R,,USA,24.6214921287,5,,6-4 6-3,3,SF
1987-W-WT-USA-12A-1987,Hilton Head,Clay,56,W,19870406,054,200401,6,,Manuela Maleeva Fragniere,R,,SUI,20.1396303901,11,57,200259,2,,Chris Evert,R,,USA,32.2902121834,3,177,6-1 2-7 7-6,3,SF
1987-W-WT-USA-05A-1987,Key Biscayne,Hard,128,W,19870223,125,200414,3,,Steffi Graf,R,,GER,17.6947296372,3,,200293,1,,Martina Navratilova,L,173,USA,30.3490759754,1,,6-3 6-2,3,SF
1987-W-WT-USA-05A-1987,Key Biscayne,Hard,128,W,19870223,127,200414,3,,Steffi Graf,R,,GER,17.6947296372,3,,200259,2,,Chris Evert,R,,USA,32.1752224504,2,,6-1 6-2,3,F
1987-W-WT-ITA-01A-1987,Rome,Clay,56,W,19870504,053,200572,4,,Gabriela Sabatini,R,,ARG,16.9664613279,9,66,200293,1,,Martina Navratilova,L,173,USA,30.5407255305,1,269,7-6 6-1,3,SF
1987-W-WT-FRG-03A-1987,Filderstadt,Carpet,32,W,19871012,022,200360,3,,Pam Shriver,R,,USA,25.273100616,5,124,200539,,,Jana Novotna,R,,CZE,19.0253251198,54,15,6-2 7-5,3,R16
1987-W-WT-JPN-03A-1987,Tokyo Indoor,Carpet,28,W,19870914,027,200572,1,,Gabriela Sabatini,R,,ARG,17.3305954825,8,79,200401,2,,Manuela Maleeva Fragniere,R,,SUI,20.5804243669,10,66,6-4 7-6,3,F
1987-D058,Fed Cup WG SF: FRG vs TCH,,4,D,19870726,2,200414,,,Steffi Graf,R,,GER,18.1163586585,2,247,200348,,,Hana Mandlikova,R,,AUS,25.4318959617,4,145,6-4 6-1,3,RR
1988-W-SL-AUS-01A-1988,Australian Open,Hard,128,G,19880111,127,200414,1,,Steffi Graf,R,,GER,18.5763175907,1,280,200259,3,,Chris Evert,R,,USA,33.0568104038,3,165,6-1 7-6(3),3,F
